"","symbol","date","open","high","low","close","volume","adjusted"
"103","AAPL",2000-05-30,0.782366,0.78683,0.729911,0.781808,713059200,0.66846
"104","AAPL",2000-05-31,0.77567,0.814732,0.748326,0.75,433507200,0.641263
"105","AAPL",2000-06-01,0.729911,0.799665,0.717634,0.795759,903840000,0.680388
"106","AAPL",2000-06-02,0.837054,0.890625,0.794643,0.826451,792848000,0.706631
"107","AAPL",2000-06-05,0.833147,0.850446,0.800781,0.81529,323668800,0.697088
"108","AAPL",2000-06-06,0.82115,0.863839,0.806362,0.829241,525481600,0.709016
"109","AAPL",2000-06-07,0.835938,0.866071,0.81808,0.862165,337019200,0.737166
"110","AAPL",2000-06-08,0.871652,0.879464,0.831473,0.84654,238526400,0.723807
"111","AAPL",2000-06-09,0.863839,0.874442,0.842634,0.854911,252358400,0.730964
"112","AAPL",2000-06-12,0.860491,0.861049,0.811384,0.814174,290337600,0.696133
"113","AAPL",2000-06-13,0.814174,0.845424,0.787388,0.84375,351456000,0.721421
"114","AAPL",2000-06-14,0.845424,0.859375,0.804688,0.807478,277446400,0.690408
"115","AAPL",2000-06-15,0.814732,0.833705,0.794643,0.824777,248572800,0.705199
"116","AAPL",2000-06-16,0.834821,0.837054,0.795201,0.814174,303564800,0.696133
"117","AAPL",2000-06-19,0.808594,0.873884,0.801897,0.862723,394004800,0.737644
"118","AAPL",2000-06-20,0.879464,0.928013,0.878348,0.904018,501390400,0.772952
"119","AAPL",2000-06-21,0.901786,1.016741,0.898438,0.993304,4.9e+08,0.849293
"120","AAPL",2000-06-22,0.995536,1.029018,0.956473,0.959821,467712000,0.820664
"121","AAPL",2000-06-23,0.960379,0.975446,0.907366,0.922991,204965600,0.789174
"122","AAPL",2000-06-26,0.9375,0.977679,0.930804,0.966518,185354400,0.82639
"123","AAPL",2000-06-27,0.960379,0.991071,0.921875,0.924107,203470400,0.790128
"124","AAPL",2000-06-28,0.952009,0.988839,0.919643,0.972098,286428800,0.831161
"125","AAPL",2000-06-29,0.947545,0.96317,0.91183,0.915179,203660800,0.782495
"126","AAPL",2000-06-30,0.94308,0.981027,0.922991,0.935268,323097600,0.799671
"127","AAPL",2000-07-03,0.930804,0.969866,0.930804,0.952009,70828800,0.813985
"128","AAPL",2000-07-05,0.950893,0.985491,0.90625,0.921875,265216000,0.78822
"129","AAPL",2000-07-06,0.9375,0.945313,0.886161,0.925223,309545600,0.791083
"130","AAPL",2000-07-07,0.939174,0.978795,0.930804,0.972098,263603200,0.831161
"131","AAPL",2000-07-10,0.96596,1.040179,0.959821,1.020089,397796000,0.872194
"132","AAPL",2000-07-11,1.017857,1.058036,0.989955,1.016741,357896000,0.869332
"133","AAPL",2000-07-12,1.037946,1.052455,1.006696,1.051339,225433600,0.898914
"134","AAPL",2000-07-13,1.044643,1.082589,0.977679,1.008929,445659200,0.862652
"135","AAPL",2000-07-14,1.020089,1.053571,1.015625,1.030134,190276800,0.880783
"136","AAPL",2000-07-17,1.040179,1.050223,1.020089,1.041295,260002400,0.890326
"137","AAPL",2000-07-18,1.044643,1.051339,1.015625,1.022321,318404800,0.874103
"138","AAPL",2000-07-19,0.985491,1.014509,0.924107,0.940848,457872800,0.804442
"139","AAPL",2000-07-20,0.982143,1.018973,0.966518,0.984375,465572800,0.841658
"140","AAPL",2000-07-21,0.970703,0.993304,0.945313,0.956473,196235200,0.817802
"141","AAPL",2000-07-24,0.938616,0.944196,0.848214,0.86942,412171200,0.743369
"142","AAPL",2000-07-25,0.898438,0.904018,0.876116,0.893973,211607200,0.764363
"143","AAPL",2000-07-26,0.890067,0.915179,0.879464,0.893973,210470400,0.764363
"144","AAPL",2000-07-27,0.892857,0.950893,0.890625,0.928571,294985600,0.793945
"145","AAPL",2000-07-28,0.933594,0.9375,0.837054,0.862723,237893600,0.737644
"146","AAPL",2000-07-31,0.87779,0.921875,0.870536,0.907366,155299200,0.775814
"147","AAPL",2000-08-01,0.898438,0.913504,0.879464,0.88058,137284000,0.752912
"148","AAPL",2000-08-02,0.875,0.891741,0.842634,0.84375,162355200,0.721421
"149","AAPL",2000-08-03,0.813616,0.858259,0.790179,0.857143,339897600,0.732873
"150","AAPL",2000-08-04,0.883371,0.915179,0.827009,0.845982,263121600,0.72333
"151","AAPL",2000-08-07,0.854911,0.876116,0.842634,0.856027,187348000,0.731918
"152","AAPL",2000-08-08,0.856027,0.857143,0.827009,0.834821,176674400,0.713787
"153","AAPL",2000-08-09,0.859375,0.864955,0.84375,0.848214,379640800,0.725238
"154","AAPL",2000-08-10,0.857143,0.864955,0.845982,0.84933,251714400,0.726192
"155","AAPL",2000-08-11,0.836496,0.857143,0.813616,0.851563,238056000,0.728102
"156","AAPL",2000-08-14,0.849888,0.851563,0.827009,0.840402,156660000,0.718559
"157","AAPL",2000-08-15,0.84375,0.856027,0.830357,0.833705,114200800,0.712833
"158","AAPL",2000-08-16,0.837054,0.875,0.835938,0.866071,143673600,0.740506
"159","AAPL",2000-08-17,0.863839,0.936384,0.862723,0.918527,270900000,0.785357
"160","AAPL",2000-08-18,0.917411,0.925223,0.890625,0.892857,190176000,0.763409
"161","AAPL",2000-08-21,0.897321,0.920759,0.886161,0.901786,134467200,0.771043
"162","AAPL",2000-08-22,0.904018,0.94308,0.899554,0.922991,276802400,0.789174
"163","AAPL",2000-08-23,0.919085,0.977679,0.91183,0.969866,236863200,0.829253
"164","AAPL",2000-08-24,0.976283,1.011161,0.953125,1.001953,310766400,0.856688
"165","AAPL",2000-08-25,1.008929,1.026786,1.006696,1.014509,334460000,0.867423
"166","AAPL",2000-08-28,1.022321,1.053571,1.018973,1.03683,359004800,0.886508
"167","AAPL",2000-08-29,1.033482,1.061384,1.030134,1.05692,267030400,0.903686
"168","AAPL",2000-08-30,1.053571,1.071429,1.04827,1.0625,285392800,0.908457
"169","AAPL",2000-08-31,1.053013,1.098214,1.052455,1.08817,419596800,0.930405
"170","AAPL",2000-09-01,1.094866,1.136161,1.091518,1.132813,256872000,0.968575
"171","AAPL",2000-09-05,1.118862,1.145089,1.111607,1.114955,298642400,0.953306
"172","AAPL",2000-09-06,1.095982,1.113839,1.03125,1.043527,355404000,0.892235
"173","AAPL",2000-09-07,1.055804,1.117188,1.040179,1.107143,217464800,0.946627
"174","AAPL",2000-09-08,1.100446,1.100446,1.044643,1.051339,195518400,0.898914
"175","AAPL",2000-09-11,1.047991,1.078125,1.037946,1.043527,187381600,0.892235
"176","AAPL",2000-09-12,1.023996,1.072545,1.017857,1.03125,187997600,0.881737
"177","AAPL",2000-09-13,1.013393,1.0625,1.013393,1.035714,305984000,0.885554
"178","AAPL",2000-09-14,1.045759,1.064732,1.014509,1.015346,426552000,0.868139
"179","AAPL",2000-09-15,1.03125,1.039063,0.96875,0.986328,394514400,0.843328
"180","AAPL",2000-09-18,0.986607,1.084821,0.983259,1.083147,424536000,0.92611
"181","AAPL",2000-09-19,1.066964,1.080357,1.045759,1.070313,271510400,0.915137
"182","AAPL",2000-09-20,1.060826,1.097098,1.045759,1.090123,227388000,0.932075
"183","AAPL",2000-09-21,1.044643,1.064732,0.986607,1.012277,510490400,0.865515
"184","AAPL",2000-09-22,0.898438,0.936384,0.892857,0.93192,726700800,0.796808
"185","AAPL",2000-09-25,0.941964,0.991071,0.929688,0.955357,435551200,0.816847
"186","AAPL",2000-09-26,0.952009,0.977679,0.917411,0.918527,290936800,0.785357
"187","AAPL",2000-09-27,0.924107,0.941964,0.861607,0.873884,402259200,0.747186
"188","AAPL",2000-09-28,0.88058,0.960938,0.859375,0.955357,979585600,0.816847
"189","AAPL",2000-09-29,0.503348,0.517857,0.453125,0.459821,7421640800,0.393155
"190","AAPL",2000-10-02,0.476563,0.477679,0.419643,0.433036,2424788800,0.370254
"191","AAPL",2000-10-03,0.445313,0.446429,0.396205,0.398438,2038120000,0.340672
"192","AAPL",2000-10-04,0.399554,0.424107,0.390625,0.421875,1466024000,0.360711
"193","AAPL",2000-10-05,0.419643,0.4375,0.392857,0.393973,873006400,0.336854
"194","AAPL",2000-10-06,0.405134,0.409598,0.375,0.396205,612656800,0.338762
"195","AAPL",2000-10-09,0.404018,0.408482,0.377232,0.388393,597564800,0.332083
"196","AAPL",2000-10-10,0.386161,0.40067,0.366071,0.372768,691101600,0.318723
"197","AAPL",2000-10-11,0.359375,0.375,0.341518,0.350446,1198422400,0.299638
"198","AAPL",2000-10-12,0.362723,0.371652,0.348214,0.357143,1191064000,0.305364
"199","AAPL",2000-10-13,0.361607,0.395089,0.357143,0.393973,1247752800,0.336854
"200","AAPL",2000-10-16,0.398438,0.415179,0.381696,0.383929,820176000,0.328266
"201","AAPL",2000-10-17,0.387277,0.391741,0.351563,0.359375,601720000,0.307272
"202","AAPL",2000-10-18,0.347098,0.376116,0.334821,0.359375,834265600,0.307272
"203","AAPL",2000-10-19,0.342076,0.353795,0.327009,0.33817,1506724800,0.289141
"204","AAPL",2000-10-20,0.340402,0.363839,0.33817,0.348214,791263200,0.297729
"205","AAPL",2000-10-23,0.361886,0.367188,0.347098,0.363839,551292000,0.311089
"206","AAPL",2000-10-24,0.36942,0.372768,0.335938,0.337054,804451200,0.288187
"207","AAPL",2000-10-25,0.340402,0.342634,0.329241,0.330357,663969600,0.282461
"208","AAPL",2000-10-26,0.335938,0.337054,0.3125,0.330357,721851200,0.282461
"209","AAPL",2000-10-27,0.337054,0.342634,0.319196,0.331473,744503200,0.283415
"210","AAPL",2000-10-30,0.341518,0.356027,0.334821,0.344866,639189600,0.294867
"211","AAPL",2000-10-31,0.352679,0.361607,0.34375,0.34933,885880800,0.298683
"212","AAPL",2000-11-01,0.347098,0.372768,0.347098,0.366071,575366400,0.312997
"213","AAPL",2000-11-02,0.377232,0.40067,0.376116,0.398438,590693600,0.340672
"214","AAPL",2000-11-03,0.410714,0.410714,0.391741,0.397321,515821600,0.339717
